Date/time,Endpoint,Retry counter
02-04-2025 22:42:32,/api/v1/markets/US100,2
03-04-2025 18:08:28,/api/v1/accounts,1
03-04-2025 18:45:54,/api/v1/markets/US100,1
03-04-2025 23:05:18,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,1
03-04-2025 23:05:34,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,2
03-04-2025 23:05:49,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,3
03-04-2025 23:06:04,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,4
03-04-2025 23:06:19,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,5
03-04-2025 23:06:34,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,6
03-04-2025 23:06:50,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,7
03-04-2025 23:07:05,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,8
03-04-2025 23:07:20,/api/v1/positions/00384627-0055-311e-0000-00008261d7b7,9
09-04-2025 16:21:47,/api/v1/markets/US100,1
10-04-2025 16:36:10,/api/v1/markets/US100,1
10-04-2025 21:47:31,/api/v1/markets/US100,1
10-04-2025 21:47:31,/api/v1/accounts,1
15-04-2025 16:40:20,/api/v1/markets/US100,1
17-04-2025 21:59:52,/api/v1/markets/US100,1
30-04-2025 16:15:42,/api/v1/markets/US100,1
01-05-2025 15:51:29,/api/v1/markets/US100,1
